index,size,name
001,625x389,castle_full_large
002,112x128,tower_spire_a
003,108x129,tower_spire_b
004,50x113,wall_thin_tall_a
005,63x114,wall_section_a
006,94x113,wall_window_a
007,103x114,wall_double_window
008,40x114,wall_thin_tall_b
009,62x143,tower_tall_a
010,48x143,tower_tall_b
011,64x44,wall_top_short
012,63x98,tower_medium_a
013,105x27,wall_top_long_a
014,29x105,wall_thin_tall_c
015,95x107,wall_ivy_a
016,93x106,wall_ivy_b
017,103x37,wall_top_medium_a
018,38x46,wall_block_a
019,102x69,wall_section_b
020,33x69,wall_thin
021,66x72,wall_crenel_short
022,73x72,wall_crenel_window_a
023,73x71,wall_crenel_window_b
024,87x129,tower_ivy_a
025,41x127,tower_ivy_thin_a
026,76x127,tower_ivy_b
027,46x127,tower_ivy_thin_b
028,66x128,tower_ivy_c
029,67x131,tower_ivy_d
030,65x82,tower_short_a
031,44x81,tower_short_b
032,63x88,tower_short_c
033,24x91,pillar_thin_a
034,16x12,ivy_tiny_a
035,16x17,wall_tiny
036,133x34,wall_top_long_b
037,74x35,wall_top_medium_b
038,24x33,wall_block_b
039,106x149,castle_small_a
040,161x149,castle_medium
041,89x152,castle_small_b
042,82x148,castle_small_c
043,101x148,castle_small_d
044,66x84,gatehouse_a
045,53x65,door_a
046,49x33,wall_section_short
047,29x22,wall_top_tiny
048,64x85,wall_with_door
049,66x81,wall_with_window
050,46x8,ivy_strand_a
051,52x40,banner_small_a
052,9x13,debris_052
053,18x41,pillar_short
054,78x84,banner_lion_blue
055,75x40,banner_medium
056,8x52,pillar_very_thin_a
057,30x32,banner_tiny
058,8x53,pillar_very_thin_b
059,12x21,debris_059
060,14x38,ivy_drape_a
061,35x38,door_small
062,8x26,pillar_very_thin_c
063,67x51,gatehouse_portcullis
064,14x9,debris_064
065,15x10,debris_065
066,14x32,torch_unlit_a
067,13x39,torch_unlit_b
068,8x14,debris_068
069,9x16,debris_069
070,31x15,ivy_strand_b
071,8x18,debris_071
072,15x18,debris_072
073,41x68,banner_lion_a
074,33x62,banner_lion_b
075,39x68,window_arched_a
076,26x13,window_top
077,39x29,arch_small
078,59x67,banner_lion_large_a
079,59x69,banner_lion_large_b
080,33x33,window_square
081,19x12,door_top_tiny
082,28x34,banner_shield_a
083,32x36,banner_shield_b
084,15x30,torch_lit_a
085,16x31,torch_lit_b
086,63x81,arch_window_large
087,121x74,wall_arched_doors
088,20x15,ivy_chunk_a
089,27x26,ivy_chunk_b
090,33x38,wall_block_ivy_a
091,14x27,ivy_clump_a
092,40x27,wall_block_ivy_b
093,24x28,wall_block_ivy_c
094,11x23,ivy_drape_b
095,8x19,ivy_drape_c
096,219x142,wall_long_ivy
097,29x108,pillar_ivy_a
098,27x97,pillar_ivy_b
099,29x134,pillar_ivy_tall_a
100,42x137,pillar_ivy_tall_b
101,29x16,ivy_strand_c
102,10x16,debris_102
103,9x16,debris_103
104,25x17,wall_block_top
105,28x31,banner_shield_c
106,29x31,banner_shield_d
107,22x28,banner_shield_small
108,11x9,debris_108
109,15x10,debris_109
110,14x8,debris_110
111,142x43,fence_long_a
112,17x76,post_a
113,14x10,debris_113
114,13x10,debris_114
115,30x10,ivy_strand_d
116,15x10,debris_116
117,17x10,debris_117
118,14x10,debris_118
119,15x27,post_short
120,91x25,fence_short_a
121,10x32,post_b
122,79x14,fence_top
123,11x16,debris_123
124,62x8,ivy_strand_e
125,73x25,fence_short_b
126,10x14,debris_126
127,9x12,debris_127
128,98x41,fence_with_post
129,78x23,fence_section
130,10x12,debris_130
131,26x32,debris_pile_a
132,36x49,statue_angel_small
133,72x84,statue_angel_large
134,78x68,wall_rubble_a
135,122x75,wall_rubble_long
136,24x27,rubble_block_a
137,20x18,rubble_small_a
138,8x18,debris_138
139,34x32,log_a
140,27x26,log_b
141,10x34,post_thin
142,11x10,debris_142
143,45x40,rubble_pile_a
144,37x38,rubble_block_b
145,25x21,rubble_small_b
146,25x38,rubble_pile_b
147,24x10,debris_147
148,12x25,debris_148
149,31x37,bush_small_a
150,11x24,debris_150
151,15x26,debris_151
152,15x13,debris_152
153,13x18,debris_153
154,11x10,debris_154
155,26x27,bush_small_b
156,25x24,bush_small_c
157,37x50,bush_medium_a
158,18x18,debris_158
159,75x99,tree_a
160,65x84,tree_b
161,91x103,tree_flowering_a
162,26x10,grass_strand_a
163,41x94,tree_small_a
164,39x88,tree_small_b
165,54x84,tree_medium_a
166,57x79,tree_medium_b
167,15x10,debris_167
168,70x125,tree_tall_a
169,74x103,tree_c
170,205x56,hedge_long_a
171,49x49,bush_pair
172,14x18,bush_tiny_a
173,26x24,bush_small_d
174,80x56,hedge_a
175,61x55,bush_large_a
176,85x53,hedge_b
177,129x54,hedge_long_b
178,36x42,bush_medium_b
179,18x16,bush_tiny_b
180,26x35,bush_small_e
181,12x12,debris_181
182,11x15,debris_182
183,20x15,debris_183
184,22x15,debris_184
185,21x15,debris_185
186,74x135,tree_tall_b
187,134x58,hedge_long_c
188,59x14,hedge_strip
189,107x36,fence_decorative_a
190,34x57,bush_medium_c
191,141x57,rock_pile_long
192,48x44,bush_medium_d
193,46x49,bush_medium_e
194,37x36,bush_small_f
195,25x38,bush_small_g
196,55x53,bush_large_b
197,34x51,bush_medium_f
198,53x55,bush_large_c
199,23x62,bush_tall_a
200,26x63,bush_tall_b
201,83x36,hedge_low_a
202,34x24,bush_small_h
203,11x12,debris_203
204,23x23,bush_small_i
205,87x68,rock_pile_a
206,13x18,debris_206
207,15x19,debris_207
208,13x18,debris_208
209,14x15,debris_209
210,19x21,debris_210
211,48x53,bush_medium_g
212,47x70,bush_tall_c
213,39x50,bush_medium_h
214,12x14,debris_214
215,28x69,bush_tall_d
216,46x61,bush_medium_i
217,53x75,bush_tall_e
218,55x63,bush_flowering_a
219,41x43,bush_medium_j
220,57x35,bush_low_a
221,140x67,hedge_flowering
222,63x68,bush_flowering_b
223,76x65,hedge_grass
224,35x60,bush_tall_f
225,51x62,bush_tall_g
226,52x49,bush_medium_k
227,56x57,bush_medium_l
228,22x53,bush_tall_h
229,24x57,bush_tall_i
230,16x18,debris_230
231,33x27,bush_small_j
232,11x14,debris_232
233,18x28,bush_tiny_c
234,17x20,bush_tiny_d
235,37x37,bush_small_k
236,36x29,bush_small_l
237,124x24,fence_decorative_b
238,93x12,fence_low
239,10x13,debris_239
240,30x12,grass_clump_a
241,32x49,bush_medium_m
242,13x28,bush_tiny_e
243,26x14,debris_243
244,31x17,debris_244
